spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,17,0,-2,ZA,2/12/2025,93,FALSE,261466,HIT ME HARD AND SOFT,5/17/2024,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
6VBfzBgHu8tFeeg2ZQO4gH,Wayengenalutho,MENZI MUSIC,18,0,1,ZA,2/12/2025,56,FALSE,312293,Sizesiguge,12/6/2024,0.591,0.962,9,-4.144,1,0.0397,0.201,2.27E-06,0.0849,0.93,68.517,4
7MD8gswt08VhFwVF1PR8Mg,"Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)","Mr Pilato, Ego Slimflow, Tebogo G Mashego, Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma, CowBoii",19,0,-8,ZA,2/12/2025,68,FALSE,454778,"Biri Marung (feat. Sje Konka, Focalistic, DJ Maphorisa, Scotts Maphuma & CowBoii)",11/8/2024,0.848,0.588,9,-10.935,1,0.0532,0.00115,0.00485,0.0523,0.301,113.002,4
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),"Kendrick Lamar, SZA",20,7,30,ZA,2/12/2025,88,TRUE,232186,Black Panther The Album Music From And Inspired By,2/9/2018,0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4
4zZxynw8cwhCRlDl9pay2f,Diqabang,"Khathapillar, Sol Phenduka, Smash SA, Kamoh Xaba",21,0,-8,ZA,2/12/2025,60,FALSE,402890,Diqabang,5/20/2024,0.711,0.52,2,-11.103,0,0.0331,0.102,0.00152,0.13,0.363,111.993,4
79r4mAwHBAB1x5QnImlUM6,Ncono Siyeke,"Mshinwemali, Shenge wasehlalankosi",22,0,-4,ZA,2/12/2025,57,FALSE,299363,Ncono Siyeke,9/10/2024,0.455,0.799,2,-8.831,1,0.0359,0.384,0,0.575,0.868,99.729,3
3RCMGDpJlWeEgCLhOz63oa,Ngiyakuthanda,MENZI MUSIC,23,-3,0,ZA,2/12/2025,55,FALSE,283062,Sizesiguge,12/6/2024,0.556,0.924,7,-5.459,0,0.0365,0.424,1.44E-05,0.335,0.833,136.027,4
5tIt860TkOItU0BRafiyzd,Sigade Umzila,Mthandeni SK,24,0,-7,ZA,2/12/2025,56,FALSE,205400,Sigade Umzila,11/29/2024,0.705,0.882,1,-7.342,0,0.0368,0.339,0.161,0.208,0.883,89.968,4
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",25,-2,-5,ZA,2/12/2025,90,FALSE,169917,rosie,12/6/2024,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
53wwaMp15eGyE12Cm7sxLa,Ungukuphila,Xolly Mncwango,26,-1,1,ZA,2/12/2025,55,FALSE,356306,Jesus Is Enough,11/20/2020,0.278,0.49,3,-11.191,1,0.0523,0.454,0,0.351,0.332,168.763,3
